Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
DMA,External debt stocks (% of GNI),60.7872591491718,54.0746465321564,57.267656499586,50.0923479770945,46.2580685310978,64.3467147797057,67.96385649374,66.1470795379377,66.1470795379377
DMA,"Use of IMF credit (DOD, current US$)",26503483.1,24206037.6,24416781.4,22362537.6,20760360.5,35838200.2,47957082.9,43691600.9,43691600.9
DMA,"External debt stocks, long-term (DOD, current US$)",285163451.7,267117680.4,264476043.5,242802271.4,245665100.9,275640731.3,312351646.4,337803656.4,337803656.4
DMA,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",285163451.7,267117680.4,264476043.5,242802271.4,245665100.9,275640731.3,312351646.4,337803656.4,337803656.4
DMA,"External debt stocks, short-term (DOD, current US$)",5548000.0,8844644.9,10827000.0,13139000.0,11517000.0,17614000.0,17671000.0,19236000.0,19236000.0
DMA,Short-term debt (% of total reserves),4.39529379602933,3.98573026912859,5.10003706914936,6.86742222581731,7.42206755311629,10.6220949037349,9.25942823913355,9.41358218255833,9.41358218255833
DMA,"Short-term debt (% of exports of goods, services and primary income)",2.05267177672188,3.22692079957302,4.83343906375907,8.23234085310612,5.26326321930001,15.8687573739224,13.979112542169,10.5866430630058,10.5866430630058
DMA,Short-term debt (% of total external debt),1.7489,2.9465,3.6123,4.721,4.1436,5.3522,4.6751,4.8002,4.8002
DMA,"PPG, IDA (DOD, current US$)",25485000.0,24021000.0,32802000.0,34045000.0,35556000.0,51398000.0,88158000.0,121373000.0,121373000.0
DMA,"IBRD loans and IDA credits (DOD, current US$)",25516000.0,24021000.0,32802000.0,34045000.0,35556000.0,51398000.0,88158000.0,121373000.0,121373000.0
DMA,"Net financial flows, bilateral (NFL, current US$)",3505548.0,-7336407.0,-7517490.7,-12423778.5,-7148415.1,-4750103.4,-651628.2,-6499123.2,-6499123.2
DMA,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",2952000.0,-71000.0,1040000.0,8169000.0,15298000.0,-3445000.0,-2338000.0,-1231000.0,-1231000.0
DMA,"Net official flows from UN agencies, FAO (current US$)",200831.100344658,200831.100344658,200831.100344658,200831.100344658,124116.040766239,75513.981282711,222360.000014305,84070.2727437019,84070.2727437019
DMA,"Net official flows from UN agencies, IFAD (current US$)",-199292.004108429,-86283.9967012405,-40943.7417984009,-39990.0004267693,-35999.9984502792,-39875.5483329296,-39999.9991059303,-38260.0016891956,-38260.0016891956
